Employee Number,Surname,Forename,Gross Pay,Taxable Gross,Net Pay,Basic,PDI,SMP,CMP,SSP,CSP BASIC ADJ,SSP OFFSET,UNPAID LEAVE,ACTING ALLOW,WEIGHTING,SUPPLEMENT,OT HRS @ 1,OT HRS @ 1.25,OT HRS @ 1.50,OT HRS @ 2.00,OT HRS @ 3.00,OT HRS CALL,OT HRS @ 2.50,OT HRS @ 1.75,OT @ 1.00,OT @ 1.25,OT @ 1.50,OT @ 2.00,OT @ 3.00,OVERTIME,OT CALL OUT,OT @ 2.50,OT @ 1.75,CUST SAT INC,SERV INCENTIVE,ANNUAL BONUS,REFER A FRIEND,BONUS,TEAM LEADER,BDE BONUS,INCENTIVE,PROD BONUS,KIT DAYS,SALES BONUS,COMMISSION,HOLIDAY PAY,INCENTIVE ADJUST,PILON N,PILON T,EXGRATIA N,EXGRATIA T,SIGNING FEE,EXGRATIA T & N,RETENTION BONS,RELOC N,MED EE HCARE,MED SPUSE HCARE,MED PARENT HCARE,MED FAMILY HCARE,MED EE HCARE,MED SPOUSE HCARE,MED PARENT HCARE,MED FAMILY HCARE,MED EE,MED EE BRONZE,MED EE ADJ,MED SPOUSE ADJ,MED SPF ADJ,MED FAM ADJ,OPT GAIN TN,WK EVE @ 0.20 HRS,WK EVE @ 0.20,WK EVE @ 0.30 HRS,WK EVE @ 0.30,WK EVE @ 0.40 HRS,WK EVE @ 0.40,WK DAY @ 2.00 HRS,WK DAY @ 2.00,EXPENSES,CHOOSECHILDCA,CHOOSE BIKES,CHOOSE MOBILES,CHOOSE HEALTH,CHILDCAR NEW,SMART MILES,MILEAGE PAYMENT,IPAD 2,CHOOSE MOB TOPUP,STAFF TV,SMART PENSION,SMART AVC %,SMART AVC £,SMART PENS,SMART PENS,PENSION REFUND,MAT CHOICES PAY,TOP UP HOLIDAY,TOP UP TRAIN,TOP UP OTHER,TOP UP BANK HOL,TAX,NI EES,NI ERS,CSA PRE 04/03,PRIOIRTY 1,PRIORITY 2,EAS,NON PRIORTY 1,NON PRIORTY 2,COUNCIL TAX1,COUNCIL TAX2,COUNCIL TAX3,EAS2,COUNCIL TAX > 07,EAS3,CSA POST 04/03,CSA POST 04/03,CSA POST 04/03,CSA POST 04/03,CSA POST 04/03,AEO FINES,COUNCIL TAX2 > 07,EAS POST 04/10,EAS2 POST 04/10,AEO FINES2,COUNCIL TAX > 07,EAS3 POST 04/10,GAYE,ADVANCE,LOAN,OVERPAYMENTS,MONIES REC,SAYE 2008,SAYE 2009,EQUIP LOSS,CAR FINES,PRIVMOB CALL,VEH REPAIR,SAYE 2010,SAYE 2011,SAYE 2012 3YR,SAYE 2012 5YR,SAYE 2013 3YR,SAYE 2013 5YR,OPT GAIN DED,CO INVESTMENT,CHOOSE CHILDCARE DED,CHOOSE COMPS DED,CHOOSE BIKES DED,CHOOSE VOUCH DED,CHOOSE TRAVEL DED,MED EE HCARE DED,MED SPOUSE HCARE DED,MED PARENT HCARE DED,MED FAM HCARE DED,PENSION 1 EES,PENSION 1 ERS,PENSION 1F EES,PENSION 1F ERS,PENSION EES,PENSION ERS,PENSION ENT EES,PENSION ENT ERS,PENSION EES,PENSION ERS,L & G PENSION EES,L & G PENSION ERS,L & G PENSION % EES,L & G PENSION % ERS,L & G PEN FIXED EES,L & G PEN FIXED ERS,VC % EES,VC % EES,VC £ EES,VC £ EES,STUDENT LOAN,SPLIT NET PAY,IPAD 3,STAFF TV 2,GYM FLEX,DENTAL - EES L1,DENTAL - EES L3,DENTAL - EES L6,DENTAL-EES&PARL1,DENTAL-EES&PARL3,DENTAL-EES&PARL6,DENTAL - SP L1,DENTAL - SP L3,DENTAL - SP L6,DENTAL - FAM L1,DENTAL - FAM L3
130564,Last Name 130564,First Name 130564,3452.11,3452.11,12158.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807.45,0,0,2757.15,10020.98,0,100,0,0,0,0,0,0,12.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.6,272.45,313.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-506.16,0,0,0,0,0,0,0,0,0,0,0,0
132924,Last Name 132924,First Name 132924,683.22,683.22,433.71,473.67,0,0,0,0,0,0,0,0,34.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9,0,0,0,0,0,0,0,0,0,0,0,0,0,92.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07,0,136.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133017,Last Name 133017,First Name 133017,2897.28,2897.28,1884.81,1299.25,0,0,0,0,0,0,0,0,0,238.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201.85,0,0,0,0,0,0,0,0,0,0,0,0,0,92.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.18,0,0,0,0,0,0,3.01,0,43.53,34.57,412.6,256.96,295.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133403,Last Name 133403,First Name 133403,4352.11,4352.11,2935.31,1293.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2483.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.06,0,0,0,0,0,0,530.59,0,0,61.27,728.8,354.72,497.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.28,0,0,0,0,0,0,0,0,0,0,0,0
133597,Last Name 133597,First Name 133597,2010.58,2010.58,1613.67,1225.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.42,0,0,0,0,0,0,814.42,0,0,0,235.2,161.71,185.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133626,Last Name 133626,First Name 133626,3210.65,3210.65,2097.97,1268.5,0,0,0,0,0,0,0,0,86.67,238.34,7,0,0,0,0,0,0,0,51.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264.8,0,0,0,0,0,0,0,0,0,0,0,0,0,92.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.14,0,0,0,0,0,0,208.54,0,0,30.8,475.2,294.57,338.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,93.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133645,Last Name 133645,First Name 133645,4510.79,4510.79,3325.78,1268.5,0,0,0,0,0,0,0,0,86.67,0,12,0,0,0,0,0,0,0,87.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639.85,0,0,0,0,0,0,0,0,0,0,0,0,0,92.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.57,0,0,0,0,0,0,350.61,0,0,0,734.4,357.7,518.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133702,Last Name 133702,First Name 133702,2111.84,2111.84,1600.62,1268.5,0,0,0,0,0,0,0,0,86.67,0,64,0,0,0,0,0,0,0,468.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.57,0,0,0,0,0,0,210.96,0,0,0,255.6,162.71,187.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133820,Last Name 133820,First Name 133820,654.34,653.64,652.48,612.83,0,0,0,350.2,-233.35,-204.28,0,0,43.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.15,0,0,0,0,0,0,0,0,0,0,37.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,0,0,0,-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133946,Last Name 133946,First Name 133946,4101.8,4101.8,3023.98,1268.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2709.4,0,0,0,0,0,0,0,0,0,0,0,74.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.35,0,0,0,0,0,0,0,0,0,72.92,653.6,349.89,464.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
